Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
Yes,Travel_Frequently,Marketing,Doctor,2,Male,2,3,Sales Representative,2,Divorced,No,4.07,4,34.45,4,4,22.38,9.35,0.27
No,Not_Travel,Marketing,Master,3,Male,1,1,Sales Representative,4,Single,Yes,7.99,1,7.63,7,2,19.22,4.84,13.47
Yes,Travel_Rarely,Sales,Master,4,Male,1,5,Human Resources Manager,1,Divorced,No,8.89,4,4.32,3,1,16.25,17.57,12.87
No,Travel_Frequently,Research,Doctor,1,Female,1,5,Research Scientist,4,Divorced,Yes,7.7,4,8.28,2,1,13.28,1.36,18.01
No,Travel_Frequently,Finance,Bachelor,1,Male,5,1,Sales Representative,4,Married,Yes,5.09,3,1.02,1,1,1.2,18.42,16.94
Yes,Travel_Frequently,Sales,Bachelor,4,Male,5,5,Human Resources Manager,3,Married,Yes,3.67,5,28.19,1,4,21.31,9.64,15.49
Yes,Travel_Frequently,Sales,Master,2,Female,4,4,Sales Representative,1,Divorced,No,8.54,2,14.39,1,2,1.42,7.71,3.95
Yes,Travel_Rarely,Human Resources,Bachelor,4,Female,1,1,Marketing Specialist,4,Single,Yes,6.71,4,27.74,7,4,27,16.55,19.87
No,Travel_Rarely,Finance,Master,4,Male,4,5,Research Scientist,3,Married,Yes,2.95,5,25.45,5,4,20.56,5.8,16.85
No,Travel_Rarely,Research,Bachelor,3,Male,4,1,Marketing Specialist,3,Single,Yes,4.3,3,2.45,2,2,25.39,5.32,2.96
No,Not_Travel,Finance,Doctor,3,Male,3,2,Research Scientist,4,Single,No,6.5,3,3.01,6,4,5.62,7.45,17.51
No,Travel_Rarely,Marketing,Doctor,4,Female,2,4,Sales Representative,4,Single,Yes,6.18,2,33.56,7,1,4.41,1.93,11.55
No,Travel_Rarely,Research,Bachelor,2,Male,5,5,Marketing Specialist,2,Divorced,Yes,1.16,2,32.3,5,4,1.7,7.44,16.11
Yes,Not_Travel,Research,Bachelor,4,Female,3,3,Human Resources Manager,4,Single,No,2.06,1,0.48,1,3,15.77,18.82,12.39
Yes,Travel_Frequently,Sales,Bachelor,1,Female,4,4,Research Scientist,3,Married,No,8.74,2,23.88,3,1,21.93,7.64,13.42
No,Travel_Rarely,Research,Master,3,Female,3,2,Research Scientist,1,Divorced,Yes,7.62,1,0.33,9,3,4.2,18,5.62
Yes,Not_Travel,Research,Master,1,Male,5,2,Research Scientist,3,Married,Yes,7.51,3,20.45,3,1,0.71,19.81,19.96
No,Travel_Frequently,Finance,Master,4,Female,4,4,Research Scientist,2,Married,Yes,8.63,3,12.03,1,1,1.91,11.18,2.92
Yes,Travel_Rarely,Research,Bachelor,2,Male,2,3,Marketing Specialist,2,Single,No,7,2,36.09,8,1,1.57,19.56,13.45
No,Travel_Frequently,Sales,Bachelor,4,Male,5,1,Sales Representative,3,Divorced,Yes,5.17,5,33.71,1,5,4.22,16.91,18.92
Yes,Travel_Rarely,Marketing,Bachelor,2,Female,4,2,Research Scientist,2,Single,No,9.37,1,4.83,2,5,5.78,12.02,15.15
No,Travel_Frequently,Human Resources,Doctor,3,Female,2,3,Marketing Specialist,1,Single,No,4.52,1,23.46,1,4,1.83,5.27,15.12
No,Not_Travel,Marketing,Doctor,1,Female,5,1,Research Scientist,3,Married,Yes,2.46,1,21.4,1,3,12.21,18.12,2.1
Yes,Not_Travel,Finance,Bachelor,3,Male,3,1,Human Resources Manager,4,Single,Yes,3.24,1,26.59,6,5,27.63,15.13,2.06
Yes,Travel_Rarely,Human Resources,Bachelor,3,Female,2,2,Sales Representative,2,Divorced,No,1.63,2,11.49,7,3,20,0.52,15.7
Yes,Travel_Rarely,Finance,Bachelor,4,Male,2,5,Human Resources Manager,1,Single,No,3.92,2,12.64,1,2,1.95,1.21,11.8
Yes,Travel_Frequently,Marketing,Doctor,4,Female,2,4,Research Scientist,3,Married,Yes,1.29,5,20.96,1,5,6.69,19.08,13.47
No,Travel_Rarely,Research,Bachelor,4,Male,1,3,Marketing Specialist,3,Married,Yes,9.76,2,39.25,1,1,18.98,8.51,16.21
No,Travel_Frequently,Marketing,Master,4,Male,1,3,Human Resources Manager,2,Married,Yes,0.98,1,8.51,1,4,5.94,0.43,6.61
Yes,Travel_Frequently,Research,Bachelor,2,Female,1,5,Sales Representative,3,Divorced,No,8.1,5,39.45,2,2,11.61,7.93,6.28
Yes,Not_Travel,Marketing,Bachelor,4,Female,4,4,Finance Manager,1,Single,Yes,8.99,4,34.46,9,5,22.32,8.45,1.05
Yes,Travel_Rarely,Sales,Doctor,4,Male,4,5,Research Scientist,1,Single,No,8.69,1,31.67,8,5,27.09,4.02,0.33
Yes,Travel_Frequently,Human Resources,Doctor,4,Female,5,4,Research Scientist,1,Single,Yes,0.83,5,20.42,1,1,17.34,19.76,11.71
No,Travel_Rarely,Human Resources,Doctor,4,Male,3,5,Human Resources Manager,4,Divorced,Yes,2.82,1,13.08,1,5,22.63,11.38,4.79
Yes,Not_Travel,Sales,Bachelor,4,Male,2,5,Marketing Specialist,2,Single,No,9.73,3,33.35,8,1,25.47,6.87,19.66
Yes,Not_Travel,Finance,Master,3,Female,2,4,Sales Representative,2,Married,Yes,4.24,3,3.88,2,1,6.88,18.73,19.66
No,Travel_Rarely,Finance,Doctor,4,Female,5,4,Marketing Specialist,1,Divorced,No,8.89,5,18.05,3,4,8.9,12.93,2.55
Yes,Travel_Rarely,Research,Bachelor,2,Female,4,1,Research Scientist,4,Single,No,2.2,5,21.03,3,2,25.92,17.09,18.69
No,Travel_Frequently,Marketing,Doctor,3,Female,2,1,Marketing Specialist,2,Single,No,9.62,2,0.71,2,3,7.03,6.35,7.16
Yes,Travel_Frequently,Human Resources,Master,3,Male,1,2,Sales Representative,2,Divorced,No,9.86,3,33.28,1,5,21.94,8.38,6.81
No,Travel_Rarely,Sales,Doctor,3,Female,3,5,Sales Representative,3,Married,Yes,5.81,3,37.38,2,5,4.22,15.43,1.9
Yes,Travel_Rarely,Human Resources,Bachelor,2,Male,1,5,Sales Representative,4,Divorced,Yes,3.68,2,17.92,3,2,21.71,1.05,13.08
No,Travel_Rarely,Marketing,Doctor,4,Female,3,5,Human Resources Manager,2,Divorced,No,5.73,3,33.65,9,4,17.84,1.49,8.53
No,Travel_Frequently,Finance,Doctor,1,Male,1,3,Marketing Specialist,3,Single,No,9.27,2,15.35,4,2,22.26,4.31,13.35
Yes,Travel_Frequently,Finance,Bachelor,4,Male,5,5,Sales Representative,4,Divorced,No,0.23,4,4.31,2,2,6.06,14.11,1.86
No,Not_Travel,Marketing,Bachelor,4,Male,1,3,Finance Manager,3,Single,Yes,1.17,1,28.2,7,1,20.92,3.73,16.22
Yes,Travel_Rarely,Research,Doctor,4,Male,3,2,Research Scientist,1,Married,Yes,2.18,1,30.47,2,2,6.65,19.57,6.41
Yes,Travel_Frequently,Research,Bachelor,4,Female,4,5,Finance Manager,4,Divorced,No,1.44,2,26.45,2,2,16.25,3.54,6.71
No,Travel_Rarely,Finance,Bachelor,4,Male,4,5,Finance Manager,3,Divorced,Yes,5.52,1,12.03,3,4,28.06,14.41,9.76
Yes,Not_Travel,Human Resources,Bachelor,4,Female,3,3,Human Resources Manager,2,Married,Yes,0.77,1,18.87,9,4,15.61,5.78,6.87
Yes,Not_Travel,Finance,Master,4,Male,2,3,Marketing Specialist,4,Single,Yes,0.13,5,32.97,8,2,20.13,11.11,9.93
Yes,Not_Travel,Sales,Bachelor,4,Male,3,1,Sales Representative,4,Single,No,0.72,4,25.11,2,5,3.97,8.24,1.73
No,Travel_Frequently,Finance,Bachelor,2,Female,4,3,Research Scientist,4,Divorced,No,5.2,2,2.01,3,2,23,8.53,16.49
No,Not_Travel,Finance,Bachelor,4,Female,4,2,Marketing Specialist,2,Married,Yes,5.09,1,32.87,7,2,7.99,7.19,14.39
No,Travel_Rarely,Finance,Bachelor,4,Male,2,3,Research Scientist,4,Single,No,0.41,4,31.67,1,2,29.69,8.36,5.92
No,Not_Travel,Research,Doctor,3,Female,3,3,Finance Manager,2,Married,Yes,2.51,5,16.77,9,5,17.87,3.57,19.91
Yes,Travel_Rarely,Finance,Master,4,Male,3,3,Research Scientist,4,Married,No,4.55,5,1.84,5,4,21.81,14.89,15.53
No,Travel_Rarely,Finance,Master,3,Male,1,3,Sales Representative,1,Married,Yes,3.88,2,25.82,2,5,24.26,19.86,6.86
No,Travel_Frequently,Human Resources,Bachelor,1,Female,3,1,Marketing Specialist,4,Single,Yes,9.46,1,3.49,2,2,26.52,4.07,4.39
No,Travel_Rarely,Research,Doctor,3,Male,2,1,Sales Representative,4,Single,No,3.21,3,34.07,5,1,23.93,19.42,6.32
No,Travel_Frequently,Human Resources,Bachelor,4,Male,5,1,Research Scientist,4,Married,No,4.87,1,22.91,2,5,12.34,0.41,6.17
No,Travel_Frequently,Research,Master,1,Male,1,3,Finance Manager,3,Married,No,1.59,1,17.5,3,1,9.47,8.84,9.67
Yes,Travel_Frequently,Human Resources,Doctor,4,Female,5,3,Finance Manager,3,Divorced,Yes,4.96,5,21.12,1,5,7.34,11.8,17.68
Yes,Travel_Frequently,Marketing,Bachelor,3,Female,1,4,Marketing Specialist,3,Divorced,Yes,2.64,4,37.75,9,2,1.1,3.87,12.52
No,Travel_Frequently,Marketing,Bachelor,4,Male,2,4,Finance Manager,3,Married,No,0.65,5,3.63,2,4,25.13,1.59,8.68
No,Travel_Rarely,Sales,Bachelor,4,Male,3,5,Finance Manager,3,Married,No,3.51,4,30.06,2,2,16.66,0.25,15.48
Yes,Travel_Frequently,Sales,Bachelor,4,Male,4,5,Finance Manager,4,Divorced,No,1.49,3,21.33,1,2,8.79,16.89,6.37
No,Travel_Frequently,Human Resources,Doctor,4,Male,5,2,Finance Manager,1,Single,Yes,8.68,2,24.13,5,3,3.64,1.18,13.95
No,Not_Travel,Research,Bachelor,4,Male,3,2,Finance Manager,1,Divorced,No,1.81,4,6.54,5,1,24.54,3.83,15.69
Yes,Travel_Rarely,Sales,Master,2,Female,1,2,Finance Manager,1,Divorced,No,1.96,3,1.35,5,5,17.95,8.38,16.89
No,Travel_Frequently,Marketing,Master,3,Male,4,5,Human Resources Manager,2,Single,Yes,7.3,1,18.71,3,4,17.25,9.21,19.36
No,Not_Travel,Research,Master,4,Female,4,4,Sales Representative,4,Married,No,3.69,4,34.89,9,5,14.65,14.56,8.93
Yes,Not_Travel,Finance,Master,3,Female,3,5,Human Resources Manager,3,Single,Yes,1.05,1,13,3,1,13.78,17.93,4.63
No,Not_Travel,Finance,Master,2,Female,1,1,Sales Representative,3,Married,No,1.93,1,3.57,2,3,0.96,11.03,0.45
Yes,Travel_Frequently,Marketing,Doctor,4,Male,5,5,Sales Representative,4,Divorced,Yes,9.14,3,27.55,4,4,2.9,19.03,15
Yes,Not_Travel,Sales,Master,1,Male,3,5,Sales Representative,4,Married,No,0.95,2,36.04,7,3,3.7,1.24,2.54
No,Travel_Rarely,Research,Master,1,Male,3,4,Research Scientist,2,Divorced,No,9.37,3,32.44,6,3,17.92,5.64,14.35
Yes,Travel_Rarely,Sales,Bachelor,4,Female,3,1,Research Scientist,4,Married,Yes,9.14,1,18.3,8,2,6.35,13.98,3.1
No,Not_Travel,Human Resources,Bachelor,4,Male,1,3,Human Resources Manager,4,Single,Yes,0.21,3,3.71,4,3,11.67,9.02,4.64
Yes,Not_Travel,Research,Master,3,Male,1,4,Research Scientist,4,Divorced,No,8.3,4,27.75,5,2,16.65,19.71,1.96
Yes,Travel_Rarely,Human Resources,Doctor,3,Female,2,3,Human Resources Manager,1,Married,Yes,0.92,2,36.32,1,2,18.6,15.88,11.37
No,Travel_Frequently,Research,Master,1,Female,3,5,Research Scientist,1,Single,No,4.96,4,30.27,2,5,1.87,12.27,12.28
Yes,Travel_Frequently,Finance,Bachelor,1,Male,1,2,Human Resources Manager,4,Divorced,No,6.33,1,39.85,1,3,27.38,3.72,19.23
Yes,Travel_Frequently,Sales,Bachelor,1,Male,2,1,Sales Representative,3,Married,Yes,1.36,2,27.81,8,4,4.63,5.96,11.59
Yes,Travel_Rarely,Human Resources,Master,1,Male,3,3,Finance Manager,4,Divorced,No,4.33,5,12.79,8,1,2.4,13.34,16.68
Yes,Not_Travel,Sales,Doctor,4,Female,1,4,Human Resources Manager,4,Single,No,9.9,2,4.63,2,2,18.79,4.74,11.21
Yes,Not_Travel,Sales,Doctor,3,Female,4,5,Human Resources Manager,3,Married,No,4.86,2,33.14,1,3,17.23,13.54,15.47
Yes,Travel_Rarely,Sales,Doctor,2,Female,3,1,Finance Manager,4,Married,No,1.16,2,4.1,3,3,14.91,4.2,8.1
No,Travel_Rarely,Human Resources,Bachelor,4,Female,4,1,Finance Manager,4,Divorced,Yes,8.13,2,13.64,1,2,6.25,2.82,1
Yes,Not_Travel,Human Resources,Bachelor,4,Female,3,4,Sales Representative,4,Single,No,3.05,3,4.86,2,2,18.89,12.32,15.18
No,Travel_Frequently,Research,Master,4,Male,3,3,Finance Manager,4,Divorced,No,7.01,2,34.67,2,4,11.62,5.58,2.35
Yes,Travel_Frequently,Human Resources,Doctor,4,Female,5,3,Sales Representative,4,Divorced,Yes,0.48,2,0.48,2,5,23.52,14.2,17.73
Yes,Travel_Rarely,Research,Bachelor,2,Male,4,5,Sales Representative,4,Married,Yes,2.23,1,6.25,5,5,9.76,9.16,13.89
Yes,Not_Travel,Sales,Master,4,Female,5,3,Sales Representative,2,Single,No,9.7,5,17,4,5,4.95,8.01,7.33
No,Travel_Rarely,Research,Bachelor,1,Male,4,3,Sales Representative,1,Married,Yes,9.95,4,14.89,1,2,4.51,0.23,16.29
Yes,Not_Travel,Human Resources,Master,4,Male,1,2,Research Scientist,4,Married,Yes,7.93,1,30.9,1,3,3.6,1.39,1.72
Yes,Travel_Frequently,Sales,Bachelor,2,Male,3,4,Sales Representative,3,Married,Yes,6.03,3,13.07,5,1,17.59,14.54,18.18
Yes,Travel_Rarely,Sales,Doctor,4,Female,1,2,Marketing Specialist,4,Single,Yes,3.64,5,2.66,6,5,27.37,12.24,13.82
Yes,Not_Travel,Marketing,Bachelor,4,Female,2,4,Marketing Specialist,3,Single,Yes,2.8,4,23.39,5,3,27,3.29,15.31
No,Travel_Frequently,Finance,Doctor,4,Male,4,1,Finance Manager,4,Divorced,No,7.69,1,17.92,6,2,17.56,15.99,9.12
No,Travel_Frequently,Finance,Doctor,2,Male,2,1,Finance Manager,4,Single,No,6.33,4,8.68,5,4,8.56,16.7,17.77
No,Travel_Frequently,Finance,Master,3,Female,3,2,Research Scientist,4,Divorced,Yes,5.21,5,0.4,4,3,22.41,6.22,1.09
Yes,Travel_Frequently,Research,Master,4,Female,3,1,Marketing Specialist,2,Married,No,4.38,4,19.62,3,3,4.9,19.52,15.23
Yes,Travel_Rarely,Human Resources,Bachelor,4,Male,3,2,Finance Manager,4,Married,No,4.04,3,15.68,6,5,17.87,0.25,3.9
No,Not_Travel,Research,Bachelor,3,Male,3,3,Marketing Specialist,2,Single,Yes,3.95,4,30.35,6,5,3.17,8.47,18.49
No,Not_Travel,Finance,Master,4,Male,3,3,Sales Representative,3,Single,Yes,7.09,4,39.47,1,1,19.43,2.79,1.11
Yes,Travel_Rarely,Marketing,Doctor,4,Female,1,1,Research Scientist,1,Married,Yes,2.15,2,18.3,5,1,18.79,4.96,6.15
Yes,Travel_Frequently,Marketing,Bachelor,4,Male,5,3,Marketing Specialist,4,Married,No,7.82,3,38.61,9,2,1.13,8.58,18.08
Yes,Travel_Rarely,Research,Bachelor,1,Male,3,4,Human Resources Manager,4,Single,No,5.69,2,1.77,2,3,9.27,9.13,2.09
No,Not_Travel,Marketing,Bachelor,4,Female,2,4,Finance Manager,4,Single,Yes,1.46,3,1.91,9,1,11.08,14.94,5.12
No,Not_Travel,Research,Master,3,Male,5,3,Sales Representative,1,Single,Yes,7.25,1,15.49,6,3,23.49,1.84,15.9
Yes,Travel_Frequently,Research,Doctor,3,Male,1,5,Finance Manager,1,Divorced,No,6.65,5,4.51,4,4,27.09,2.21,11.65
Yes,Travel_Frequently,Finance,Bachelor,3,Female,2,1,Human Resources Manager,4,Divorced,No,7.84,4,12.28,4,2,17.6,13.11,4.93
No,Travel_Rarely,Sales,Bachelor,3,Male,3,1,Research Scientist,2,Divorced,No,9.36,5,12.61,4,4,4,5.08,17.39
Yes,Travel_Rarely,Human Resources,Doctor,4,Male,1,5,Research Scientist,4,Single,No,5.31,4,0.16,4,5,27.89,15.62,6.54
No,Travel_Frequently,Research,Master,4,Male,1,3,Research Scientist,3,Single,No,3.99,1,33.01,1,5,11.51,12.67,4.38
Yes,Travel_Frequently,Marketing,Master,1,Male,3,1,Research Scientist,3,Single,No,5.35,5,33.86,9,3,17.82,12.42,8.85
No,Travel_Frequently,Human Resources,Bachelor,3,Female,1,2,Sales Representative,4,Married,Yes,7.07,4,8.94,7,2,13.89,12.71,6.25
Yes,Travel_Rarely,Marketing,Bachelor,4,Male,4,1,Sales Representative,4,Single,No,2.94,1,15.43,9,1,18.04,1.1,7.45
No,Travel_Rarely,Sales,Bachelor,3,Female,4,4,Marketing Specialist,1,Divorced,Yes,6.43,4,15.9,6,1,12.19,17.13,12.8
No,Travel_Frequently,Marketing,Doctor,3,Male,5,3,Marketing Specialist,3,Single,Yes,8.54,4,9.72,1,5,28.77,8.76,7.83
Yes,Not_Travel,Human Resources,Doctor,2,Female,5,1,Research Scientist,4,Single,No,1.1,4,17.09,8,4,27.74,7.32,5.01
Yes,Not_Travel,Finance,Doctor,1,Male,3,4,Finance Manager,1,Divorced,Yes,0.29,2,18.89,6,4,15.76,7.68,7.57
No,Not_Travel,Finance,Doctor,4,Female,3,1,Finance Manager,4,Divorced,No,5.5,4,29.74,8,5,4.3,0.18,6.32
Yes,Not_Travel,Research,Bachelor,2,Male,4,5,Research Scientist,1,Married,No,4,1,12.3,7,5,1.91,0.57,5.92
No,Travel_Frequently,Finance,Doctor,2,Female,5,5,Human Resources Manager,2,Single,Yes,7,2,25.58,1,1,7.24,19.61,1.27
No,Travel_Frequently,Finance,Bachelor,4,Female,3,5,Human Resources Manager,2,Married,Yes,9.16,1,12.86,1,5,28.49,8.21,9.57
Yes,Travel_Frequently,Human Resources,Master,4,Male,1,5,Finance Manager,3,Single,Yes,0.41,4,3.32,5,4,1.8,14.71,16.04
No,Travel_Rarely,Research,Bachelor,4,Female,3,4,Finance Manager,1,Divorced,Yes,6.74,4,22.65,7,1,24.79,11.23,12.07
No,Travel_Rarely,Finance,Bachelor,2,Female,2,5,Research Scientist,4,Single,Yes,2.39,1,29.71,1,1,22.17,7.33,14.9
Yes,Travel_Rarely,Marketing,Master,1,Female,5,4,Finance Manager,4,Married,No,5.39,3,30.8,8,5,1.65,18.99,6.66
No,Travel_Frequently,Sales,Master,2,Female,4,1,Sales Representative,3,Married,No,6.56,5,3.86,7,3,6.81,13.6,14.42
No,Not_Travel,Research,Master,2,Female,1,1,Sales Representative,2,Married,Yes,5.34,3,29.85,6,1,25.53,6.83,1.71
Yes,Not_Travel,Finance,Bachelor,3,Female,3,4,Finance Manager,4,Divorced,Yes,7.19,5,17.11,4,5,26.89,18.79,16.9
Yes,Travel_Frequently,Human Resources,Bachelor,4,Male,2,2,Marketing Specialist,4,Single,No,2.51,2,19.24,8,1,2.88,20,15.22
No,Travel_Rarely,Marketing,Bachelor,3,Male,5,2,Finance Manager,1,Divorced,No,5.37,4,6.35,8,2,25.09,12.37,4.24
No,Not_Travel,Sales,Doctor,2,Male,4,3,Marketing Specialist,4,Single,No,7.19,5,37.27,4,4,0.59,6.45,15.72
Yes,Not_Travel,Sales,Doctor,3,Male,5,2,Human Resources Manager,4,Single,Yes,3.65,1,21.68,6,5,28.23,14.4,16.18
Yes,Travel_Frequently,Marketing,Bachelor,3,Male,4,4,Marketing Specialist,2,Single,No,9.88,1,6.77,2,1,9.62,12.89,0.44
Yes,Travel_Rarely,Human Resources,Master,1,Female,2,4,Human Resources Manager,2,Married,No,8.43,3,28.2,1,5,18.48,8.76,9.71
Yes,Travel_Frequently,Sales,Bachelor,2,Female,2,5,Finance Manager,4,Married,Yes,7.17,1,30.42,2,2,13.77,4.74,15.9
No,Travel_Frequently,Research,Doctor,4,Male,1,1,Human Resources Manager,4,Single,Yes,4.74,3,32.88,5,3,25.05,12.32,9.74
No,Not_Travel,Finance,Master,3,Male,1,5,Sales Representative,4,Single,No,5.8,2,26.88,4,1,2.23,14.36,4.71
Yes,Travel_Frequently,Human Resources,Doctor,1,Female,1,3,Finance Manager,1,Single,No,3.22,1,25.53,1,3,0.85,5.88,3.8
No,Not_Travel,Finance,Master,3,Female,4,3,Finance Manager,4,Married,No,7.5,4,27.33,1,4,11.67,2.58,18.78
Yes,Not_Travel,Human Resources,Master,3,Female,3,2,Finance Manager,2,Divorced,No,4.2,2,7.3,8,2,15.61,0.19,15.31
No,Travel_Rarely,Research,Doctor,4,Male,2,5,Marketing Specialist,1,Single,No,2.16,2,1.87,1,3,19.51,4.99,7.2
Yes,Travel_Rarely,Research,Doctor,4,Male,3,5,Finance Manager,3,Divorced,No,4.44,5,39.57,3,2,3.52,1.93,11.88
Yes,Travel_Rarely,Human Resources,Master,4,Female,4,5,Finance Manager,4,Divorced,No,7.27,3,25.89,6,1,16.94,15.36,4.91
No,Travel_Frequently,Human Resources,Doctor,1,Female,3,2,Finance Manager,2,Married,Yes,8.45,4,12.25,7,3,27.37,1.58,5.84
No,Travel_Rarely,Research,Master,2,Male,2,5,Research Scientist,4,Single,No,7.7,3,25.38,8,1,7.61,17.16,6.51
No,Travel_Frequently,Human Resources,Doctor,4,Male,2,1,Human Resources Manager,4,Married,Yes,2.89,3,32.79,1,1,12.85,1.82,4.68
Yes,Travel_Rarely,Finance,Bachelor,4,Male,4,1,Marketing Specialist,2,Married,Yes,2.15,4,1.8,3,2,19.9,2.46,15.84
No,Not_Travel,Finance,Doctor,1,Female,5,1,Research Scientist,4,Married,Yes,5.53,3,32.08,5,2,17.91,11.27,11.84
Yes,Not_Travel,Sales,Bachelor,2,Female,5,2,Finance Manager,4,Divorced,No,7.89,2,8.29,1,1,8.74,14.66,11.32
No,Not_Travel,Sales,Master,1,Female,5,2,Finance Manager,3,Single,No,3.76,2,32.08,1,3,16.75,19.27,9.08
No,Travel_Frequently,Sales,Doctor,2,Female,2,5,Marketing Specialist,1,Single,Yes,1.72,1,36.54,9,3,28.27,8.42,8.04
No,Travel_Rarely,Marketing,Master,4,Female,5,1,Human Resources Manager,2,Single,No,7.93,4,39.7,4,3,27.7,5.2,18.94
Yes,Travel_Frequently,Sales,Doctor,1,Female,5,2,Research Scientist,1,Married,Yes,2.14,2,14.84,8,4,21.55,14.61,1.46
No,Travel_Frequently,Human Resources,Bachelor,1,Female,2,5,Research Scientist,2,Single,No,2.29,2,13.62,1,5,13.2,19.08,8.04
Yes,Not_Travel,Sales,Doctor,4,Male,2,2,Sales Representative,1,Single,No,9.61,1,30.69,1,4,20.71,4.23,1.69
No,Travel_Rarely,Research,Bachelor,3,Female,4,3,Marketing Specialist,2,Single,No,1.46,4,35.04,7,4,14.75,3.98,13.12
No,Travel_Rarely,Marketing,Master,2,Male,3,5,Marketing Specialist,4,Married,No,2.68,4,25.38,6,4,24.24,7.67,3.32
Yes,Not_Travel,Research,Doctor,2,Female,3,3,Research Scientist,3,Single,Yes,2.68,1,22.78,2,2,13.03,18.79,4.05
No,Travel_Frequently,Research,Doctor,4,Female,4,2,Marketing Specialist,4,Married,No,9.81,3,33.27,8,3,15.28,6.67,18.91
No,Travel_Rarely,Marketing,Master,1,Female,5,5,Finance Manager,4,Divorced,No,5.1,5,32.67,1,4,28.3,12.81,14.52
Yes,Travel_Frequently,Human Resources,Master,3,Female,5,5,Marketing Specialist,4,Married,Yes,5.26,4,36.85,1,3,5.49,16.72,1.19
No,Travel_Rarely,Finance,Bachelor,4,Female,5,4,Marketing Specialist,4,Married,No,4.31,1,16.53,7,3,28.34,9.13,4.09
No,Travel_Rarely,Research,Bachelor,2,Male,2,5,Finance Manager,4,Divorced,No,6,5,17.91,3,4,13.39,17.18,13.79
Yes,Travel_Rarely,Human Resources,Doctor,1,Male,5,5,Research Scientist,4,Married,Yes,4.54,5,1.49,6,4,25.2,1.94,6.97
No,Not_Travel,Research,Master,4,Male,2,5,Finance Manager,3,Single,Yes,2.42,3,29.93,7,1,23.51,7.55,9.59
Yes,Travel_Frequently,Sales,Bachelor,4,Male,1,4,Finance Manager,4,Married,No,5.83,5,8.63,7,2,2.89,5.32,12.43
Yes,Travel_Rarely,Human Resources,Master,4,Male,5,3,Marketing Specialist,4,Divorced,No,5.31,5,9.84,8,4,28.31,1.41,16.61
No,Travel_Rarely,Research,Doctor,4,Female,4,3,Research Scientist,3,Divorced,Yes,7.38,2,35.37,9,2,2.8,12.57,7.1
No,Not_Travel,Marketing,Master,4,Male,2,1,Human Resources Manager,2,Married,Yes,9.97,5,1.24,7,5,12.64,8.01,14.14
No,Travel_Frequently,Finance,Doctor,3,Male,4,3,Marketing Specialist,2,Married,No,4.64,5,36.11,8,2,23.9,1.49,6.49
No,Travel_Frequently,Marketing,Bachelor,4,Male,1,5,Sales Representative,4,Married,Yes,9.09,5,11.16,3,2,29.15,0.63,19.35
No,Travel_Frequently,Sales,Master,4,Female,4,1,Finance Manager,2,Divorced,No,9.02,1,3.86,1,3,6.71,15.14,8.09
Yes,Travel_Rarely,Finance,Bachelor,2,Female,1,2,Sales Representative,1,Divorced,Yes,2.77,2,28.84,1,2,25.6,19.04,0.23
No,Travel_Rarely,Sales,Doctor,4,Female,1,5,Human Resources Manager,2,Married,No,7.24,5,7.53,3,1,22.36,5.52,18.48
No,Travel_Frequently,Research,Doctor,1,Female,1,2,Finance Manager,4,Married,No,6.49,5,39.33,5,5,22.39,5.02,19.58
No,Travel_Rarely,Human Resources,Bachelor,2,Male,1,4,Sales Representative,4,Single,Yes,6.6,1,22.01,5,2,12.46,16.31,19.89
Yes,Travel_Frequently,Human Resources,Master,1,Male,4,3,Finance Manager,3,Married,Yes,4.32,4,16.93,9,2,11.72,4.67,7.4
No,Travel_Rarely,Marketing,Bachelor,3,Female,2,3,Finance Manager,4,Married,Yes,6.82,3,26.48,8,3,21.95,15.36,6.07
Yes,Not_Travel,Human Resources,Doctor,1,Male,3,4,Research Scientist,4,Married,No,1.89,2,38.84,1,1,11.47,2.29,4.85
No,Travel_Frequently,Marketing,Master,3,Female,3,3,Human Resources Manager,4,Single,No,7.67,2,15.73,9,3,6.16,16.78,0.94
No,Travel_Frequently,Finance,Doctor,4,Female,4,4,Research Scientist,4,Divorced,Yes,9.75,2,9.62,2,1,13.04,14.46,11.92
No,Not_Travel,Human Resources,Master,4,Male,5,3,Sales Representative,3,Married,Yes,5.79,3,19.81,6,2,25.39,18.16,8.54
Yes,Travel_Frequently,Human Resources,Master,4,Female,3,1,Marketing Specialist,4,Married,Yes,1.19,1,4.9,9,1,4.23,2.07,18.3
No,Travel_Frequently,Finance,Bachelor,3,Female,5,5,Sales Representative,1,Married,Yes,4.43,3,25.33,1,5,3.92,13.14,11.01
Yes,Not_Travel,Marketing,Master,4,Female,1,5,Sales Representative,3,Married,No,1.17,3,11.02,1,5,6.44,11.09,14.32
No,Travel_Frequently,Human Resources,Doctor,3,Male,1,3,Marketing Specialist,3,Divorced,Yes,4.36,4,31.32,1,3,20.47,15.21,14.35
No,Travel_Frequently,Marketing,Bachelor,3,Female,4,3,Marketing Specialist,2,Married,Yes,6.57,2,7.63,3,5,25.84,11.26,14.22
